
------------------------------ Round = 0 ---------------------------------------
-----------------------------------------------------------------------------------
*************************************************
Process ID | Arrival Time | Run Time | Priority |
*************************************************
               Q|           30.0 |         30.0 |       30.0 |        1.0 |             0.0 |         0.0 |               1.0 |          3 |
               O|           26.0 |         31.0 |       33.0 |        3.0 |             5.0 |         5.0 |               8.0 |          2 |
               J|           21.0 |         34.0 |       37.0 |        4.0 |            13.0 |        13.0 |              17.0 |          4 |
               V|           37.0 |         38.0 |       39.0 |        2.0 |             1.0 |         1.0 |               3.0 |          3 |
               Z|           41.0 |         41.0 |       43.0 |        3.0 |             0.0 |         0.0 |               3.0 |          2 |
               R|           33.0 |         40.0 |       46.0 |        4.0 |             7.0 |        10.0 |              14.0 |          3 |
               c|           47.0 |         47.0 |       49.0 |        3.0 |             0.0 |         0.0 |               3.0 |          2 |
               X|           41.0 |         50.0 |       52.0 |        3.0 |             9.0 |         9.0 |              12.0 |          4 |
               d|           52.0 |         53.0 |       55.0 |        3.0 |             1.0 |         1.0 |               4.0 |          1 |
               b|           46.0 |         56.0 |       60.0 |        5.0 |            10.0 |        10.0 |              15.0 |          1 |
               i|           63.0 |         63.0 |       64.0 |        2.0 |             0.0 |         0.0 |               2.0 |          3 |
               h|           61.0 |         61.0 |       66.0 |        4.0 |             0.0 |         2.0 |               6.0 |          2 |
               k|           66.0 |         67.0 |       69.0 |        3.0 |             1.0 |         1.0 |               4.0 |          3 |
               L|           23.0 |         70.0 |       74.0 |        5.0 |            47.0 |        47.0 |              52.0 |          3 |
               o|           74.0 |         75.0 |       77.0 |        3.0 |             1.0 |         1.0 |               4.0 |          2 |
               p|           78.0 |         78.0 |       80.0 |        3.0 |             0.0 |         0.0 |               3.0 |          2 |
               m|           72.0 |         81.0 |       84.0 |        4.0 |             9.0 |         9.0 |              13.0 |          1 |
               u|           85.0 |         85.0 |       87.0 |        3.0 |             0.0 |         0.0 |               3.0 |          2 |
               T|           35.0 |         88.0 |       92.0 |        5.0 |            53.0 |        53.0 |              58.0 |          1 |
               x|           93.0 |         93.0 |      100.0 |        4.0 |             0.0 |         4.0 |               8.0 |          2 |
*****************************************************************************************************************************
         Average|            0.0 |          0.0 |        0.0 |        0.0 |             6.1 |         6.8 |              10.3 |
*****************************************************************************************************************************

HPF Preemptive:
_AAA__BBBBBBBBCCCCCCCCCCCCCCCCCGGGGSSSSSSSSSSSSTTTTTTSTTTbbbbbbbbbdddfffffffffddffffffffmmmmmmmGNNNNNNN
For Priority - Queue - 1
*****************************************************************************************************************************
Process Name | Arrival Time | Start Time | End Time | Run Time | Response Time | Wait Time | Turn Around Time | Priority |
*****************************************************************************************************************************
               C|            8.0 |         14.0 |       30.0 |        9.0 |             6.0 |        14.0 |              23.0 |          1 |
               C|            8.0 |         14.0 |       30.0 |        9.0 |             6.0 |        14.0 |              23.0 |          1 |
               C|            8.0 |         14.0 |       30.0 |        9.0 |             6.0 |        14.0 |              23.0 |          1 |
               C|            8.0 |         14.0 |       30.0 |        9.0 |             6.0 |        14.0 |              23.0 |          1 |
               C|            8.0 |         14.0 |       30.0 |        9.0 |             6.0 |        14.0 |              23.0 |          1 |
               C|            8.0 |         14.0 |       30.0 |        9.0 |             6.0 |        14.0 |              23.0 |          1 |
               C|            8.0 |         14.0 |       30.0 |        9.0 |             6.0 |        14.0 |              23.0 |          1 |
               C|            8.0 |         14.0 |       30.0 |        9.0 |             6.0 |        14.0 |              23.0 |          1 |
